AI1, AI2, round, fitness
CMAESMCTS, RandomAI, 1, -10.511999999999999
CMAESMCTS, RandomAI, 2, -15.656
CMAESMCTS, RandomAI, 3, -10.438000000000002
CMAESMCTS, RandomAI, 4, -14.739999999999998
CMAESMCTS, RandomAI, 5, -11.915999999999999
CMAESMCTS, RandomBiasedAI, 1, -10.728000000000002
CMAESMCTS, RandomBiasedAI, 2, -4.284
CMAESMCTS, RandomBiasedAI, 3, -5.510000000000001
CMAESMCTS, RandomBiasedAI, 4, -3.1799999999999997
CMAESMCTS, RandomBiasedAI, 5, -8.580000000000002
CMAESMCTS, MonteCarlo, 1, -9.536000000000001
CMAESMCTS, MonteCarlo, 2, -9.54
CMAESMCTS, MonteCarlo, 3, -4.0040000000000004
CMAESMCTS, MonteCarlo, 4, 3.2120000000000006
CMAESMCTS, MonteCarlo, 5, 10.790000000000001
CMAESMCTS, WorkerRush, 1, 0.0
CMAESMCTS, WorkerRush, 2, 0.0
CMAESMCTS, WorkerRush, 3, 0.0
CMAESMCTS, WorkerRush, 4, -15.372000000000002
CMAESMCTS, WorkerRush, 5, -14.673999999999998
CMAESMCTS, WorkerDefense, 1, -14.160000000000002
CMAESMCTS, WorkerDefense, 2, -12.336
CMAESMCTS, WorkerDefense, 3, -16.506
CMAESMCTS, WorkerDefense, 4, 0.0
CMAESMCTS, WorkerDefense, 5, -15.156000000000002
CMAESMCTS, CoacAI, 1, 0.0
CMAESMCTS, CoacAI, 2, -16.272
CMAESMCTS, CoacAI, 3, -13.478000000000002
CMAESMCTS, CoacAI, 4, 0.0
CMAESMCTS, CoacAI, 5, -14.832
