AI1, AI2, map, fitness
CMAESMCTS, RandomAI, maps/8x8/basesWorkers8x8A.xml, -7.163999999999998
CMAESMCTS, RandomAI, maps/16x16/basesWorkers16x16A.xml, -12.614
CMAESMCTS, RandomAI, maps/BWDistantResources32x32.xml, -13.283999999999999
CMAESMCTS, RandomAI, maps/BroodWar/(4)BloodBath.scmB.xml, -13.338
CMAESMCTS, RandomAI, maps/8x8/FourBasesWorkers8x8.xml, -13.212
CMAESMCTS, RandomAI, maps/16x16/TwoBasesBarracks16x16.xml, -13.984000000000002
CMAESMCTS, RandomAI, maps/NoWhereToRun9x8.xml, -12.0
CMAESMCTS, RandomAI, maps/DoubleGame24x24.xml, -13.770000000000001
CMAESMCTS, RandomBiasedAI, maps/8x8/basesWorkers8x8A.xml, -13.328000000000001
CMAESMCTS, RandomBiasedAI, maps/16x16/basesWorkers16x16A.xml, -12.138
CMAESMCTS, RandomBiasedAI, maps/BWDistantResources32x32.xml, -11.49
CMAESMCTS, RandomBiasedAI, maps/BroodWar/(4)BloodBath.scmB.xml, 12.360000000000003
CMAESMCTS, RandomBiasedAI, maps/8x8/FourBasesWorkers8x8.xml, -13.856000000000002
CMAESMCTS, RandomBiasedAI, maps/16x16/TwoBasesBarracks16x16.xml, -7.700000000000001
CMAESMCTS, RandomBiasedAI, maps/NoWhereToRun9x8.xml, -14.592
CMAESMCTS, RandomBiasedAI, maps/DoubleGame24x24.xml, -11.088000000000001
CMAESMCTS, MonteCarlo, maps/8x8/basesWorkers8x8A.xml, 0.5660000000000001
CMAESMCTS, MonteCarlo, maps/16x16/basesWorkers16x16A.xml, -10.29
CMAESMCTS, MonteCarlo, maps/BWDistantResources32x32.xml, 4.965999999999998
CMAESMCTS, MonteCarlo, maps/BroodWar/(4)BloodBath.scmB.xml, 0.9359999999999999
CMAESMCTS, MonteCarlo, maps/8x8/FourBasesWorkers8x8.xml, -9.744
CMAESMCTS, MonteCarlo, maps/16x16/TwoBasesBarracks16x16.xml, -7.799999999999999
CMAESMCTS, MonteCarlo, maps/NoWhereToRun9x8.xml, -10.582
CMAESMCTS, MonteCarlo, maps/DoubleGame24x24.xml, 0.05400000000000005
CMAESMCTS, CoacAI, maps/8x8/basesWorkers8x8A.xml, 0.0
CMAESMCTS, CoacAI, maps/16x16/basesWorkers16x16A.xml, 10.892
CMAESMCTS, CoacAI, maps/BWDistantResources32x32.xml, 0.0
CMAESMCTS, CoacAI, maps/BroodWar/(4)BloodBath.scmB.xml, 0.0
CMAESMCTS, CoacAI, maps/8x8/FourBasesWorkers8x8.xml, 14.478
CMAESMCTS, CoacAI, maps/16x16/TwoBasesBarracks16x16.xml, 0.0
CMAESMCTS, CoacAI, maps/NoWhereToRun9x8.xml, 11.67
CMAESMCTS, CoacAI, maps/DoubleGame24x24.xml, 0.0
CMAESMCTS, POLightRush, maps/8x8/basesWorkers8x8A.xml, -12.936000000000002
CMAESMCTS, POLightRush, maps/16x16/basesWorkers16x16A.xml, -13.259999999999998
CMAESMCTS, POLightRush, maps/BWDistantResources32x32.xml, -17.12
CMAESMCTS, POLightRush, maps/BroodWar/(4)BloodBath.scmB.xml, -15.023999999999997
CMAESMCTS, POLightRush, maps/8x8/FourBasesWorkers8x8.xml, -14.586000000000002
CMAESMCTS, POLightRush, maps/16x16/TwoBasesBarracks16x16.xml, 0.0
CMAESMCTS, POLightRush, maps/NoWhereToRun9x8.xml, 17.2416
CMAESMCTS, POLightRush, maps/DoubleGame24x24.xml, -14.586000000000002
