AI1, AI2, map, fitness
CMAESMCTS, CoacAI, maps/8x8/basesWorkers8x8A.xml, -13.536000000000001
CMAESMCTS, CoacAI, maps/16x16/basesWorkers16x16A.xml, -16.408
CMAESMCTS, CoacAI, maps/BWDistantResources32x32.xml, -16.200000000000003
CMAESMCTS, CoacAI, maps/BroodWar/(4)BloodBath.scmB.xml, 0.0
CMAESMCTS, CoacAI, maps/8x8/FourBasesWorkers8x8.xml, 0.0
CMAESMCTS, CoacAI, maps/16x16/TwoBasesBarracks16x16.xml, -15.949999999999998
CMAESMCTS, CoacAI, maps/NoWhereToRun9x8.xml, 0.0
CMAESMCTS, CoacAI, maps/DoubleGame24x24.xml, 0.0
