AI1, AI2, round, fitness
CMAESMCTS, RandomAI, 1, -12.852
CMAESMCTS, RandomAI, 2, -10.239999999999998
CMAESMCTS, RandomAI, 3, -12.954
CMAESMCTS, RandomAI, 4, -15.120000000000001
CMAESMCTS, RandomAI, 5, -12.614
CMAESMCTS, RandomBiasedAI, 1, -10.584000000000001
CMAESMCTS, RandomBiasedAI, 2, -6.901999999999998
CMAESMCTS, RandomBiasedAI, 3, -8.544
CMAESMCTS, RandomBiasedAI, 4, -7.559999999999999
CMAESMCTS, RandomBiasedAI, 5, -8.684
CMAESMCTS, MonteCarlo, 1, -6.103999999999999
CMAESMCTS, MonteCarlo, 2, -11.584
CMAESMCTS, MonteCarlo, 3, -10.271999999999998
CMAESMCTS, MonteCarlo, 4, -6.4959999999999996
CMAESMCTS, MonteCarlo, 5, -5.095999999999998
CMAESMCTS, WorkerRush, 1, -14.790000000000003
CMAESMCTS, WorkerRush, 2, -17.003999999999998
CMAESMCTS, WorkerRush, 3, -15.355999999999998
CMAESMCTS, WorkerRush, 4, -14.825999999999999
CMAESMCTS, WorkerRush, 5, -14.658
CMAESMCTS, WorkerDefense, 1, -15.8
CMAESMCTS, WorkerDefense, 2, -15.344000000000001
CMAESMCTS, WorkerDefense, 3, -13.906
CMAESMCTS, WorkerDefense, 4, -11.560000000000002
CMAESMCTS, WorkerDefense, 5, -14.211999999999998
