AI1, AI2, round, fitness
CMAESMCTS, RandomAI, 1, -13.340000000000002
CMAESMCTS, RandomAI, 2, -7.248000000000001
CMAESMCTS, RandomAI, 3, -9.828000000000001
CMAESMCTS, RandomAI, 4, -12.924
CMAESMCTS, RandomAI, 5, -10.438000000000002
CMAESMCTS, RandomBiasedAI, 1, 0.0
CMAESMCTS, RandomBiasedAI, 2, 0.0
CMAESMCTS, RandomBiasedAI, 3, 0.0
CMAESMCTS, RandomBiasedAI, 4, 0.0
CMAESMCTS, RandomBiasedAI, 5, 0.0
CMAESMCTS, MonteCarlo, 1, -6.767999999999998
CMAESMCTS, MonteCarlo, 2, 3.936000000000001
CMAESMCTS, MonteCarlo, 3, 7.368000000000001
CMAESMCTS, MonteCarlo, 4, -7.854000000000003
CMAESMCTS, MonteCarlo, 5, -10.620000000000001
CMAESMCTS, WorkerRush, 1, -16.12
CMAESMCTS, WorkerRush, 2, -13.440000000000001
CMAESMCTS, WorkerRush, 3, 0.0
CMAESMCTS, WorkerRush, 4, -15.264000000000001
CMAESMCTS, WorkerRush, 5, -14.6
CMAESMCTS, WorkerDefense, 1, -13.068000000000001
CMAESMCTS, WorkerDefense, 2, -14.111999999999998
CMAESMCTS, WorkerDefense, 3, -15.084000000000001
CMAESMCTS, WorkerDefense, 4, -15.372000000000002
CMAESMCTS, WorkerDefense, 5, -16.12
