AI1, AI2, map, fitness
CMAESMCTS, WorkerDefense, maps/8x8/basesWorkers8x8A.xml, 0.0
CMAESMCTS, WorkerDefense, maps/16x16/basesWorkers16x16A.xml, 13.940000000000001
CMAESMCTS, WorkerDefense, maps/BWDistantResources32x32.xml, 0.0
CMAESMCTS, WorkerDefense, maps/BroodWar/(4)BloodBath.scmB.xml, 0.0
CMAESMCTS, WorkerDefense, maps/8x8/FourBasesWorkers8x8.xml, 12.815999999999999
CMAESMCTS, WorkerDefense, maps/16x16/TwoBasesBarracks16x16.xml, 0.0
CMAESMCTS, WorkerDefense, maps/NoWhereToRun9x8.xml, 0.0
CMAESMCTS, WorkerDefense, maps/DoubleGame24x24.xml, 12.924
