AI1, AI2, map, fitness
CMAESMCTS, RandomAI, maps/8x8/basesWorkers8x8A.xml, -16.200000000000003
CMAESMCTS, RandomAI, maps/16x16/basesWorkers16x16A.xml, -14.076
CMAESMCTS, RandomAI, maps/BWDistantResources32x32.xml, -13.838000000000001
CMAESMCTS, RandomAI, maps/BroodWar/(4)BloodBath.scmB.xml, -14.544
CMAESMCTS, RandomAI, maps/8x8/FourBasesWorkers8x8.xml, -12.954
CMAESMCTS, RandomAI, maps/16x16/TwoBasesBarracks16x16.xml, -13.472000000000001
CMAESMCTS, RandomAI, maps/NoWhereToRun9x8.xml, -13.216000000000001
CMAESMCTS, RandomAI, maps/DoubleGame24x24.xml, -13.600000000000001
CMAESMCTS, RandomBiasedAI, maps/8x8/basesWorkers8x8A.xml, -9.239999999999998
CMAESMCTS, RandomBiasedAI, maps/16x16/basesWorkers16x16A.xml, -8.241999999999999
CMAESMCTS, RandomBiasedAI, maps/BWDistantResources32x32.xml, -5.950000000000001
CMAESMCTS, RandomBiasedAI, maps/BroodWar/(4)BloodBath.scmB.xml, -10.815999999999999
CMAESMCTS, RandomBiasedAI, maps/8x8/FourBasesWorkers8x8.xml, -7.523999999999999
CMAESMCTS, RandomBiasedAI, maps/16x16/TwoBasesBarracks16x16.xml, -10.219999999999999
CMAESMCTS, RandomBiasedAI, maps/NoWhereToRun9x8.xml, -13.226
CMAESMCTS, RandomBiasedAI, maps/DoubleGame24x24.xml, -11.116
CMAESMCTS, MonteCarlo, maps/8x8/basesWorkers8x8A.xml, -7.890000000000001
CMAESMCTS, MonteCarlo, maps/16x16/basesWorkers16x16A.xml, -9.912
CMAESMCTS, MonteCarlo, maps/BWDistantResources32x32.xml, -11.116
CMAESMCTS, MonteCarlo, maps/BroodWar/(4)BloodBath.scmB.xml, 10.783999999999999
CMAESMCTS, MonteCarlo, maps/8x8/FourBasesWorkers8x8.xml, -6.936000000000001
CMAESMCTS, MonteCarlo, maps/16x16/TwoBasesBarracks16x16.xml, -14.706
CMAESMCTS, MonteCarlo, maps/NoWhereToRun9x8.xml, -11.392
CMAESMCTS, MonteCarlo, maps/DoubleGame24x24.xml, -2.8200000000000003
CMAESMCTS, CoacAI, maps/8x8/basesWorkers8x8A.xml, 15.456
CMAESMCTS, CoacAI, maps/16x16/basesWorkers16x16A.xml, 0.0
CMAESMCTS, CoacAI, maps/BWDistantResources32x32.xml, 0.0
CMAESMCTS, CoacAI, maps/BroodWar/(4)BloodBath.scmB.xml, 0.0
CMAESMCTS, CoacAI, maps/8x8/FourBasesWorkers8x8.xml, 0.0
CMAESMCTS, CoacAI, maps/16x16/TwoBasesBarracks16x16.xml, 15.62
CMAESMCTS, CoacAI, maps/NoWhereToRun9x8.xml, 0.0
CMAESMCTS, CoacAI, maps/DoubleGame24x24.xml, 12.236
CMAESMCTS, POLightRush, maps/8x8/basesWorkers8x8A.xml, -14.586000000000002
CMAESMCTS, POLightRush, maps/16x16/basesWorkers16x16A.xml, -13.29
CMAESMCTS, POLightRush, maps/BWDistantResources32x32.xml, 2.6304
CMAESMCTS, POLightRush, maps/BroodWar/(4)BloodBath.scmB.xml, -15.162
CMAESMCTS, POLightRush, maps/8x8/FourBasesWorkers8x8.xml, -16.716
CMAESMCTS, POLightRush, maps/16x16/TwoBasesBarracks16x16.xml, -14.143999999999998
CMAESMCTS, POLightRush, maps/NoWhereToRun9x8.xml, -14.015999999999998
CMAESMCTS, POLightRush, maps/DoubleGame24x24.xml, -15.010000000000002
