AI1, AI2, map, fitness
CMAESMCTS, CoacAI, maps/8x8/basesWorkers8x8A.xml, -11.01
CMAESMCTS, CoacAI, maps/16x16/basesWorkers16x16A.xml, -10.008000000000001
CMAESMCTS, CoacAI, maps/BWDistantResources32x32.xml, -15.162
CMAESMCTS, CoacAI, maps/BroodWar/(4)BloodBath.scmB.xml, 0.0
CMAESMCTS, CoacAI, maps/8x8/FourBasesWorkers8x8.xml, -14.796000000000001
CMAESMCTS, CoacAI, maps/16x16/TwoBasesBarracks16x16.xml, -13.344000000000001
CMAESMCTS, CoacAI, maps/NoWhereToRun9x8.xml, -15.649999999999997
CMAESMCTS, CoacAI, maps/DoubleGame24x24.xml, -14.475999999999999
