AI1, AI2, round, fitness
CMAESMCTS, RandomAI, 1, -13.32
CMAESMCTS, RandomAI, 2, -13.110000000000001
CMAESMCTS, RandomAI, 3, -12.478
CMAESMCTS, RandomAI, 4, -13.728000000000002
CMAESMCTS, RandomAI, 5, -12.988
CMAESMCTS, RandomBiasedAI, 1, -7.65
CMAESMCTS, RandomBiasedAI, 2, -14.292000000000002
CMAESMCTS, RandomBiasedAI, 3, -8.064
CMAESMCTS, RandomBiasedAI, 4, -11.73
CMAESMCTS, RandomBiasedAI, 5, -13.068
CMAESMCTS, MonteCarlo, 1, -13.947999999999997
CMAESMCTS, MonteCarlo, 2, 2.6159999999999997
CMAESMCTS, MonteCarlo, 3, 3.6240000000000006
CMAESMCTS, MonteCarlo, 4, 11.088000000000001
CMAESMCTS, MonteCarlo, 5, -8.193999999999999
CMAESMCTS, WorkerRush, 1, 0.0
CMAESMCTS, WorkerRush, 2, -14.450000000000001
CMAESMCTS, WorkerRush, 3, 0.0
CMAESMCTS, WorkerRush, 4, -14.858000000000002
CMAESMCTS, WorkerRush, 5, -15.532
CMAESMCTS, WorkerDefense, 1, -13.984000000000002
CMAESMCTS, WorkerDefense, 2, -15.72
CMAESMCTS, WorkerDefense, 3, -15.770000000000001
CMAESMCTS, WorkerDefense, 4, -19.36
CMAESMCTS, WorkerDefense, 5, -15.694
CMAESMCTS, CoacAI, 1, -12.100000000000001
CMAESMCTS, CoacAI, 2, -14.040000000000001
CMAESMCTS, CoacAI, 3, -13.728000000000002
CMAESMCTS, CoacAI, 4, -8.875999999999998
CMAESMCTS, CoacAI, 5, -12.810000000000002
CMAESMCTS, POLightRush, 1, -15.264000000000001
CMAESMCTS, POLightRush, 2, -17.316
CMAESMCTS, POLightRush, 3, -18.15
CMAESMCTS, POLightRush, 4, -14.654000000000002
CMAESMCTS, POLightRush, 5, -14.111999999999998
