AI1, AI2, map, fitness
CMAESMCTS, WorkerDefense, maps/8x8/basesWorkers8x8A.xml, 0.0
CMAESMCTS, WorkerDefense, maps/16x16/basesWorkers16x16A.xml, -14.654000000000002
CMAESMCTS, WorkerDefense, maps/BWDistantResources32x32.xml, 0.0
CMAESMCTS, WorkerDefense, maps/BroodWar/(4)BloodBath.scmB.xml, 0.0
CMAESMCTS, WorkerDefense, maps/8x8/FourBasesWorkers8x8.xml, -14.934000000000001
CMAESMCTS, WorkerDefense, maps/16x16/TwoBasesBarracks16x16.xml, -14.303999999999998
CMAESMCTS, WorkerDefense, maps/NoWhereToRun9x8.xml, -16.514
CMAESMCTS, WorkerDefense, maps/DoubleGame24x24.xml, -15.33
